City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
209,geraldton,90,CA,1517349600,65,49.72,-86.95,3.2,8.05
210,mantua,75,IT,1517352900,93,45.16,10.79,42.8,4.7
211,half moon bay,75,US,1517352960,55,37.46,-122.43,69.8,4.7
212,taguatinga,40,BR,1517353200,69,-15.83,-48.06,75.2,2.24
213,yar-sale,80,RU,1517354856,89,66.83,70.83,2.02,12.19
214,coquimbo,20,CL,1517353200,77,-29.95,-71.34,62.6,9.17
215,ambon,90,FR,1517353200,100,47.55,-2.56,48.2,9.17
216,laguna,40,MX,1517352240,19,27.52,-110.01,87.8,9.17
217,hasaki,75,JP,1517351400,86,35.73,140.83,28.4,3.36
218,lagoa,0,PT,1517353200,48,37.14,-8.45,60.8,21.92
219,taltal,8,CL,1517354859,75,-25.41,-70.49,62.23,2.35
220,faya,40,SA,1517353200,81,18.39,42.45,50.0,9.17
221,morant bay,20,JM,1517349600,70,17.88,-76.41,84.2,11.41
222,carinhanha,56,BR,1517354862,79,-14.3,-43.77,77.08,7.72
223,solone,0,UA,1517353200,80,48.2,34.88,35.6,13.42
224,inuvik,40,CA,1517349600,68,68.36,-133.71,-13.01,3.36
225,zhongshu,92,CN,1517354863,84,24.52,103.77,27.26,7.16
226,henties bay,92,NA,1517354864,99,-22.12,14.28,63.22,7.05
227,atar,0,MR,1517354806,38,20.52,-13.05,48.91,7.72
228,verkhnyaya toyma,80,RU,1517354865,80,62.24,45.0,19.39,7.83
229,la asuncion,44,EC,1517354866,80,-1.64,-78.74,50.98,0.89
230,brunico,75,IT,1517352600,91,46.8,11.94,33.8,5.82
231,colares,0,PT,1517353200,58,38.8,-9.45,55.4,11.41
232,yumaguzino,0,RU,1517354872,49,52.9,56.39,-8.92,5.7
233,punta alta,0,AR,1517353200,42,-27.46,-55.82,86.0,5.82
234,lasa,20,CY,1517353200,87,34.92,32.53,48.2,9.17
235,dingle,0,PH,1517354880,76,11.0,122.67,77.8,12.64
236,gawler,75,AU,1517351400,51,-34.6,138.75,62.6,16.11
237,lumeje,88,AO,1517354882,97,-11.56,20.78,66.23,4.81
238,north bend,20,US,1517354100,62,43.41,-124.22,51.8,5.82
239,male,80,UA,1517354884,87,50.74,33.7,30.14,26.06
240,kaitangata,0,NZ,1517354884,39,-46.28,169.85,83.24,14.43
241,kununurra,90,AU,1517353200,88,-15.77,128.74,80.6,8.05
242,cayenne,75,GF,1517353200,78,4.94,-52.33,80.6,8.05
243,tiarei,40,PF,1517353200,58,-17.53,-149.33,87.8,8.05
244,sidi ali,20,DZ,1517354886,77,36.1,0.42,45.71,4.92
245,bethel,1,US,1517352780,84,60.79,-161.76,8.6,25.28
246,martapura,80,ID,1517351400,94,-3.41,114.85,73.4,5.82
247,summerside,90,CA,1517349600,92,46.39,-63.79,23.0,41.38
248,kirakira,76,SB,1517354891,100,-10.46,161.92,80.32,17.0
249,ust-nera,68,RU,1517354891,70,64.57,143.24,-0.91,3.13
250,ugoofaaru,48,MV,1517354894,100,5.67,73.0,80.68,6.38
251,paharpur,24,PK,1517354894,86,32.1,70.97,44.18,2.46
252,le pont-de-claix,90,FR,1517353200,80,45.12,5.7,42.8,3.36
253,sechura,0,PE,1517354896,72,-5.56,-80.82,75.73,12.97
254,provideniya,0,RU,1517353200,63,64.42,-173.23,28.4,2.24
255,airai,92,TL,1517354898,94,-8.93,125.41,70.6,2.35
256,valparaiso,1,US,1517352960,54,41.47,-87.06,30.2,8.05
257,cabo san lucas,90,MX,1517352720,39,22.89,-109.91,84.2,6.93
258,sao jose da coroa grande,100,BR,1517354903,91,-8.9,-35.15,77.71,8.72
